client_id,content_age_days,impressions_90d,clicks_90d,ctr_decimal,avg_position_clean,refresh_score,archetype,reason_code,recommended_action,priority,requires_human_signoff
client_7f2253d7e2,147,22434,8,0.0004,40.5,0.8644544288070765,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,9710,6,0.0006,26.4,0.8644442436487841,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,22080,25,0.0011,33.9,0.8641032234601473,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,11304,4,0.0004,30.4,0.8637939100455932,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,230,2629,2,0.0008,16.9,0.8637789268768387,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,37675,91,0.0024,30.5,0.8636833723656651,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,4615,6,0.0013,29.2,0.8635453155242453,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,31827,265,0.0083,22.4,0.8634505968648056,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,21704,36,0.0017000000000000001,35.8,0.8634078687573381,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,12992,117,0.009000000000000001,15.2,0.863132048332784,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,27173,11,0.0004,37.3,0.8630389862802673,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,141,31051,29,0.0009,22.9,0.8628000050562393,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,165,2765,1,0.0004,21.1,0.8625550375139754,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,225,14348,17,0.0012,25.2,0.8623907190431257,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,230,16324,32,0.002,27.6,0.8622096231038231,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,22537,82,0.0036,15.9,0.8616586588231498,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,2357,2,0.0008,22.9,0.8616236221834838,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,124,3184,2,0.0006,39.4,0.8615506668753029,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_9400f1b21c,557,1767,1,0.0006,8.7,0.8614942781177,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,224,4430,5,0.0011,22.1,0.861132213277657,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,132,34089,76,0.0022,33.9,0.8610671094799466,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,37685,79,0.0021,31.6,0.8608208151959201,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_7f2253d7e2,147,24516,22,0.0009,26.9,0.8608130939253418,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
client_3fdba35f04,174,2104,3,0.0014000000000000002,21.8,0.8608059346328503,ARCH_HIGH_VAL_DECAY,RC_FULL_REFRESH,Full Content Refresh,High,True
