content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,content_hash_id,gsc_clicks,gsc_impressions,gsc_avg_position,gsc_ctr,is_declining,staleness_bucket,action_score,reason_code,action_label
content_a144f70b7a97,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,5318.0,34276.0,,gemini-3-flash-preview,727,2,10,5,5,0,0,0,69,4,18,0,2,229,1,2,229,181-365,5,104,91-180,3500+,25000+,0.28,5.2,0.0,0.0,0.0,moderate,page_1,down,-92.1,content_a144f70b7a97,2,727,5.2,0.0028000000000000004,1,91-180d,0.6060578579122475,NO_ACTION_NEEDED,MONITOR
content_3dad8d32a4bc,client_624b60c58c,2400.0,0.01,LOW,0.62,keyword article,commercial,1780.0,10852.0,,gpt-5-mini,502,1,4,3,3,0,0,2,30,3,1,0,2,7,0,0,356,181-365,5,104,91-180,1000-2000,8000-15000,0.2,9.8,0.0,50.0,0.0,moderate,page_1,down,-85.7,content_3dad8d32a4bc,1,502,9.8,0.002,1,91-180d,0.6060353221419631,NO_ACTION_NEEDED,MONITOR
content_0080113aa348,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,6373.0,42115.0,,gemini-3-flash-preview,15176,142,611,385,377,22,7,50,88,82,6207,59,92,4710,47,66,229,181-365,5,104,91-180,3500+,25000+,0.94,19.1,5.71,8.18,1.82,good,striking,up,31.8,content_0080113aa348,142,15176,19.1,0.009399999999999999,0,91-180d,0.6060200401048552,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_3481f996bd95,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,commercial,6996.0,46295.0,,gemini-3-flash-preview,199,0,16,13,13,0,0,0,60,9,9,0,3,62,0,2,211,181-365,5,104,91-180,3500+,25000+,0.0,12.3,0.0,0.0,0.0,low,striking,down,-85.5,content_3481f996bd95,0,199,12.3,0.0,1,91-180d,0.6060138025662852,NO_ACTION_NEEDED,MONITOR
content_c694763d4685,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,commercial,3423.0,21295.0,,gpt-4o-mini,199,0,3,3,3,0,0,2,44,3,0,0,2,91,0,1,275,181-365,5,104,91-180,2000-3500,15000-25000,0.0,6.9,0.0,66.67,0.0,low,page_1,down,-100.0,content_c694763d4685,0,199,6.9,0.0,1,91-180d,0.6060138025662852,NO_ACTION_NEEDED,MONITOR
content_d1147e37182c,client_3fdba35f04,70.0,0.92,HIGH,8.02,keyword article,commercial,1406.0,8963.0,,gpt-4o-mini,199,0,5,3,3,1,0,2,55,3,4,0,0,63,0,1,333,181-365,5,104,91-180,1000-2000,8000-15000,0.0,24.7,33.33,40.0,0.0,low,page_3_5,down,-93.7,content_d1147e37182c,0,199,24.7,0.0,1,91-180d,0.6060138025662852,NO_ACTION_NEEDED,MONITOR
content_baeafaf1b31b,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,commercial,5749.0,40480.0,,gemini-3-flash-preview,199,0,36,20,20,0,0,0,61,7,56,0,11,92,0,8,299,181-365,5,104,91-180,3500+,25000+,0.0,26.0,0.0,0.0,0.0,low,page_3_5,down,-39.1,content_baeafaf1b31b,0,199,26.0,0.0,1,91-180d,0.6060138025662852,NO_ACTION_NEEDED,MONITOR
content_4e658a59c333,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1510.0,9432.0,,gpt-4o-mini,199,0,4,2,2,0,0,2,41,2,1,0,0,66,0,0,263,181-365,5,104,91-180,1000-2000,8000-15000,0.0,2.1,0.0,50.0,0.0,low,top_3,down,-98.5,content_4e658a59c333,0,199,2.1,0.0,1,91-180d,0.6060138025662852,NO_ACTION_NEEDED,MONITOR
content_dccf69297579,client_4e07408562,20.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,725,2,2,2,2,1,0,1,88,2,168,1,1,190,1,1,390,365+,6,104,91-180,,,0.28,10.5,50.0,50.0,0.0,moderate,striking,stable,-11.6,content_dccf69297579,2,725,10.5,0.0028000000000000004,0,91-180d,0.6060100675677298,NO_ACTION_NEEDED,MONITOR
content_c9fe147aa4c1,client_19581e27de,320.0,0.74,HIGH,1.99,keyword article,informational,,,,,725,2,2,2,2,0,0,0,84,2,186,1,1,159,1,1,258,181-365,5,104,91-180,,,0.28,8.7,0.0,0.0,0.0,moderate,page_1,stable,17.0,content_c9fe147aa4c1,2,725,8.7,0.0028000000000000004,0,91-180d,0.6060100675677298,NO_ACTION_NEEDED,MONITOR
